Category,URL,Views,Likes,Shares,FollowerCount,Broca,Amygdala,Nucleus Accumbens,Hippocampus,Superior Parietal,TPJ,Mean_Activation
viral,https://www.youtube.com/shorts/nJG_fJp4jis,261M,,,,0.415,0.383,0.422,0.466,0.378,0.378,0.407
viral,https://www.youtube.com/shorts/5zdxJJena0g,139M,,,,0.469,0.428,0.367,0.417,0.367,0.367,0.402
viral,https://www.youtube.com/shorts/XqHe5KawwP0,137M,,,,0.402,0.294,0.304,0.362,0.339,0.406,0.351
viral,https://www.youtube.com/shorts/prijXft5auY,51M,,,,0.345,0.319,0.463,0.379,0.393,0.319,0.37
viral,https://www.youtube.com/shorts/x4XSM1U0hC4,24M,,,,0.363,0.396,0.332,0.409,0.36,0.375,0.372
viral,https://www.youtube.com/shorts/tAkX2tG-9JU,21M,,,,0.36,0.483,0.389,0.337,0.431,0.329,0.388
viral,https://www.youtube.com/shorts/1klmWdffzfQ,12M,,,,0.4,0.292,0.324,0.4,0.427,0.399,0.374
viral,https://www.youtube.com/shorts/fI-D0dyP1oI,6.9M,,,,0.384,0.375,0.316,0.354,0.367,0.443,0.373
viral,https://www.youtube.com/shorts/NLZesGIIUHo,5.4M,,,,0.407,0.302,0.406,0.371,0.356,0.421,0.377
viral,https://www.youtube.com/shorts/-bD438hPqXU,5.2M,,,,0.442,0.437,0.348,0.375,0.407,0.439,0.408
non_viral,https://www.youtube.com/shorts/CwAswv6wE6w,5.1K,,,,0.377,0.375,0.314,0.334,0.436,0.455,0.382
non_viral,https://www.youtube.com/shorts/NNyIFazsfq0,9.9K,,,,0.376,0.464,0.27,0.416,0.386,0.38,0.382
non_viral,https://www.youtube.com/shorts/B-jMvAYzwbI,702,,,,0.36,0.361,0.443,0.417,0.351,0.395,0.388
non_viral,https://www.youtube.com/shorts/96RWJQFTKDI,9.5K,,,,0.362,0.301,0.385,0.392,0.403,0.366,0.368
non_viral,https://www.youtube.com/shorts/gvyeMGg0aYw,1.3K,,,,0.471,0.375,0.402,0.381,0.271,0.375,0.379
non_viral,https://www.youtube.com/shorts/mZ9Ymr5fGoA,1.6K,,,,0.365,0.409,0.378,0.332,0.447,0.424,0.393
non_viral,https://www.youtube.com/shorts/N9aD3uC5QEQ,8,,,,0.341,0.344,0.398,0.355,0.325,0.374,0.356
non_viral,https://www.youtube.com/shorts/RO1og6Nr8qE,0,,,,0.347,0.359,0.409,0.339,0.412,0.456,0.387
non_viral,https://www.youtube.com/shorts/JvjQKAxf4iI,0,,,,0.329,0.302,0.398,0.416,0.402,0.383,0.372
non_viral,https://www.youtube.com/shorts/YgmXpUK3cwU,486,,,,0.408,0.339,0.471,0.419,0.331,0.432,0.4
